match_title,match_id,team1_name,team2_name,team1_side,team2_side,team1_pick,team2_pick,winner,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,Game 1: 6811064974,Thiuth Gaming,BOOM Esports,The Dire,The Radiant,1st Pick,,BOOM,Clockwerk,Shadow Fiend,Enigma,Primal Beast,Marci,Undying,Disruptor,Broodmother,Pangolier,Sniper,Naga Siren,Leshrac,Pudge,Morphling,Kunkka,Death Prophet,Hoodwink,Bristleback,Batrider,Drow Ranger,Beastmaster,Lifestealer,Templar Assassin,Brewmaster
,Game 1: 6811000638,Fnatic,TSM,The Radiant,The Dire,1st Pick,,Fnatic,Beastmaster,Enigma,Clockwerk,Marci,Undying,Nyx Assassin,Shadow Fiend,Sniper,Naga Siren,Terrorblade,Batrider,Hoodwink,Lycan,Tiny,Crystal Maiden,Disruptor,Monkey King,Leshrac,Mars,Death Prophet,Primal Beast,Lifestealer,Templar Assassin,Dark Seer
,Game 2: 6811058155,Fnatic,TSM,The Radiant,The Dire,,1st Pick,Fnatic,Pangolier,Beastmaster,Enigma,Marci,Undying,Disruptor,Monkey King,Drow Ranger,Sniper,Leshrac,Nature's Prophet,Visage,Naga Siren,Primal Beast,Enchantress,Crystal Maiden,Dawnbreaker,Lifestealer,Tinker,Batrider,Lina,Puck,Ember Spirit,Invoker
,Game 1: 6811003963,Team Secret,Talon,The Radiant,The Dire,1st Pick,,Secret,Enigma,Chen,Leshrac,Sniper,Marci,Doom,Nyx Assassin,Shadow Fiend,Lina,Broodmother,Beastmaster,Mirana,Dawnbreaker,Monkey King,Enchantress,Tusk,Crystal Maiden,Templar Assassin,Morphling,Viper,Troll Warlord,Batrider,Slardar,Visage
,Game 2: 6811050928,Team Secret,Talon,The Radiant,The Dire,,1st Pick,Secret,Enigma,Marci,Shadow Fiend,Nyx Assassin,Leshrac,Tusk,Lina,Clockwerk,Lifestealer,Dawnbreaker,Chen,Beastmaster,Mirana,Templar Assassin,Bane,Lycan,Jakiro,Bloodseeker,Mars,Drow Ranger,Primal Beast,Luna,Lone Druid,Broodmother
,Game 1: 6810986033,Thunder Awaken,beastcoast,The Radiant,The Dire,,1st Pick,bc,Tiny,Clockwerk,Nyx Assassin,Silencer,Undying,Crystal Maiden,Marci,Shadow Fiend,Pudge,Tusk,Batrider,Earthshaker,Enigma,Mars,Zeus,Snapfire,Earth Spirit,Faceless Void,Dawnbreaker,Wraith King,Pangolier,Chaos Knight,Doom,Venomancer
,Game 2: 6811040499,Thunder Awaken,beastcoast,The Radiant,The Dire,1st Pick,,THUNDER,Clockwerk,Tiny,Silencer,Nyx Assassin,Undying,Marci,Enigma,Gyrocopter,Snapfire,Storm Spirit,Faceless Void,Batrider,Terrorblade,Leshrac,Shadow Fiend,Dawnbreaker,Zeus,Ogre Magi,Templar Assassin,Hoodwink,Lina,Mars,Lion,Drow Ranger
,Game 1: 6810984589,Team Aster,Team Spirit,The Dire,The Radiant,1st Pick,,Aster,Nyx Assassin,Enigma,Pangolier,Visage,Marci,Primal Beast,Crystal Maiden,Leshrac,Morphling,Clockwerk,Sniper,Shadow Fiend,Batrider,Monkey King,Tiny,Shadow Demon,Broodmother,Troll Warlord,Mars,Drow Ranger,Beastmaster,Lone Druid,Razor,Puck
,Game 2: 6811035333,Team Aster,Team Spirit,The Dire,The Radiant,1st Pick,,TSpirit,Nyx Assassin,Enigma,Pangolier,Leshrac,Marci,Primal Beast,Crystal Maiden,Shadow Fiend,Drow Ranger,Shadow Demon,Sniper,Doom,Morphling,Phoenix,Tusk,Oracle,Broodmother,Troll Warlord,Puck,Razor,Death Prophet,Pudge,Tiny,Zeus
,Game 1: 6810974000,Tundra Esports,Entity,The Dire,The Radiant,,1st Pick,Tundra,Crystal Maiden,Broodmother,Undying,Enigma,Marci,Doom,Lich,Lone Druid,Slark,Visage,Queen of Pain,Chen,Lifestealer,Batrider,Hoodwink,Brewmaster,Invoker,Pangolier,Naga Siren,Silencer,Drow Ranger,Bane,Disruptor,Wraith King
