team,first_pick,side,bans,picks
OG,True,The Dire,"['Undying', 'Shadow Fiend', 'Marci', 'Broodmother', 'Enigma', 'Beastmaster', 'Brewmaster']","['Pangolier', 'Viper', 'Jakiro', 'Clockwerk', 'Faceless Void']"
Gaimin Gladiators,True,The Radiant,"['Undying', 'Shadow Fiend', 'Marci', 'Broodmother', 'Enigma', 'Beastmaster', 'Brewmaster']","['Pangolier', 'Viper', 'Jakiro', 'Clockwerk', 'Faceless Void']"
OG,True,The Radiant,"['Snapfire', 'Razor', 'Morphling', 'Sniper', 'Faceless Void', 'Monkey King', 'Bloodseeker']","['Undying', 'Shadow Fiend', 'Beastmaster', 'Disruptor', 'Kunkka']"
Gaimin Gladiators,True,The Dire,"['Snapfire', 'Razor', 'Morphling', 'Sniper', 'Faceless Void', 'Monkey King', 'Bloodseeker']","['Undying', 'Shadow Fiend', 'Beastmaster', 'Disruptor', 'Kunkka']"
PSG.LGD,True,The Dire,"['Enigma', 'Undying', 'Batrider', 'Death Prophet', 'Pudge', 'Venomancer', 'Brewmaster']","['Chen', 'Monkey King', 'Kunkka', 'Snapfire', 'Slardar']"
BOOM Esports,True,The Radiant,"['Enigma', 'Undying', 'Batrider', 'Death Prophet', 'Pudge', 'Venomancer', 'Brewmaster']","['Chen', 'Monkey King', 'Kunkka', 'Snapfire', 'Slardar']"
PSG.LGD,True,The Radiant,"['Enigma', 'Marci', 'Naga Siren', 'Pudge', 'Mars', 'Bristleback', 'Slark']","['Undying', 'Visage', 'Earthshaker', 'Ember Spirit', 'Drow Ranger']"
BOOM Esports,True,The Dire,"['Enigma', 'Marci', 'Naga Siren', 'Pudge', 'Mars', 'Bristleback', 'Slark']","['Undying', 'Visage', 'Earthshaker', 'Ember Spirit', 'Drow Ranger']"
Shopify Rebellion,True,The Dire,"['Primal Beast', 'Shadow Fiend', 'Undying', 'Puck', 'Invoker', 'Lifestealer', 'Lone Druid']","['Crystal Maiden', 'Mars', 'Snapfire', 'Tiny', 'Slark']"
beastcoast,True,The Radiant,"['Primal Beast', 'Shadow Fiend', 'Undying', 'Puck', 'Invoker', 'Lifestealer', 'Lone Druid']","['Crystal Maiden', 'Mars', 'Snapfire', 'Tiny', 'Slark']"
Shopify Rebellion,True,The Dire,"['Clockwerk', 'Tiny', 'Chaos Knight', 'Tidehunter', 'Enchantress', 'Timbersaw', 'Enigma']","['Crystal Maiden', 'Beastmaster', 'Mirana', 'Ember Spirit', 'Lifestealer']"
beastcoast,True,The Radiant,"['Clockwerk', 'Tiny', 'Chaos Knight', 'Tidehunter', 'Enchantress', 'Timbersaw', 'Enigma']","['Crystal Maiden', 'Beastmaster', 'Mirana', 'Ember Spirit', 'Lifestealer']"
Team Liquid,True,The Dire,"['Primal Beast', 'Visage', 'Drow Ranger', 'Broodmother', 'Tiny', 'Beastmaster', 'Brewmaster']","['Marci', 'Shadow Fiend', 'Death Prophet', 'Disruptor', 'Mars']"
